CT_Num;N_Reglement;RT_NbJour
CL001;1;0
CL003;2;15
CL004;1;0
CL005;1;0
CL006;1;0
CL007;1;7
CL008;2;7
CL010;2;5
4110000011;1;0
CL013;1;0
CL014;2;5
CL016;1;0
CL017;1;0
CL018;1;7
CL019;2;5
CL021;2;5
CL022;2;0
CL023;1;0
CL024;2;7
CL025;2;7
CL026;1;0
CL027;1;0
CL028;2;5
CL029;1;0
CL031;2;15
CL032;2;7
4110000014;2;15
CL034;2;0
CL035;1;0
CL036;1;0
CL037;2;5
CL040;2;5
CL041;1;0
CL042;1;0
CL043;2;5
CL045;1;0
CL046;1;0
CL049;1;0
CL050;1;0
CL051;1;0
CL053;1;0
CL054;1;0
CL055;2;10
CL056;1;0
CL059;2;7
4110000022;2;45
CL063;2;5
4110000023;2;5
CL065;1;0
4110000024;1;0
CL068;1;0
CL069;1;0
CL073;2;5
CL076;1;0
CL080;1;0
CL081;2;15
CL086;1;0
CL087;1;0
CL088;1;0
CL089;1;0
CL090;2;0
CL091;2;7
CL092;1;15
CL092;2;15
CL093;1;0
CL094;1;7
CL094;2;7
CL097;2;0
CL098;1;0
CL099;2;30
CL100;2;7
CL102;2;5
CL108;1;0
CL112;1;0
CL114;1;0
CL120;1;0
CL122;1;0
CL123;1;0
CL125;1;0
CL133;2;5
CL134;2;7
CL135;1;0
CL141;1;0
CL142;1;0
CL143;1;0
CL145;1;0
CL146;1;0
CL147;1;0
CL148;1;0
CL149;1;0
CL150;2;5
CL151;2;0
CL152;1;0
CL154;1;0
CL156;2;15
CL157;1;7
CL158;1;0
4110000237;2;15
CL161;2;7
CL164;1;0
CL165;1;0
CL167;2;15
CL169;1;0
CL170;1;0
CL172;1;0
CL174;1;0
CL175;1;0
CL176;1;0
CL178;1;0
4110000241;1;0
CL182;1;0
CL183;1;0
4110000242;1;0
4110000243;2;7
CL187;2;30
CL188;2;0
4110000245;1;0
4110000246;2;0
CL191;2;15
4110000247;1;0
CL193;2;0
4110000248;1;0
4110000249;1;0
CL197;1;0
CL198;1;0
CL199;1;0
CL200;2;0
CL201;1;0
CL202;1;0
4110000258;1;0
CL239;1;0
CL241;1;0
CL246;2;0
CL252;2;0
CL254;1;0
CL255;1;0
CL256;1;0
CL257;1;0
CL258;1;0
CL259;1;0
CL260;1;0
CL261;1;0
4110000265;2;0
CL264;2;0
CL265;1;0
CL268;1;0
CL273;1;0
CL274;1;0
CL275;1;0
CL278;1;0
CL298;1;0
CL302;2;0
CL303;2;0
4110000273;2;6
CL331;2;0
CL358;2;0
DE5355;2;0
FL0001;4;45
V009;1;0
4110000186;1;0
4110000235;1;0
4110000253;1;0
4110000282;1;0
4110000296;1;0
CL418;1;0
4110000306;1;0
CL435;1;0
4110000329;1;0
4110000330;1;0
CL465;1;0
CL466;1;0
CL415;1;0
CL474;1;0
4110000337;1;0
4110000344;1;0
4110000310;1;0
4110000346;1;0
4110000347;1;0
CL525;1;0
CL527;1;0
CL552;2;0
4110000031;1;0
CL115;1;0
4110000244;2;0
4110000316;1;0
4110000318;2;0
4110000320;1;0
CL444;1;0
4110000323;1;0
4110000331;2;0
CL511;1;0
CL518;1;0
CL514;2;0
CL534;2;0
4110000322;1;0
CL434;1;0
CL429;2;0
CL290;2;0
4110000267;1;0
CL269;2;0
4110000259;2;0
CL232;1;0
4110000254;2;0
4110000231;2;0
4110000229;2;0
4110000228;1;0
CL116;2;0
CL020;2;0
4110000351;1;0
4110000338;1;0
4110000293;2;0
4110000271;1;0
4110000026;2;0
4110000317;1;0
4110000374;1;0
4110000380;1;0
CL561;1;0
CL565;2;0
4110000388;1;0
CL568;1;0
4110000389;1;0
CL570;1;0
CL571;1;0
4110000256;2;0
CL575;1;0
CL209;1;0
CL577;1;0
4110000394;2;0
4110000396;1;0
CL587;1;0
CL589;1;0
4110000399;1;0
CL593;1;0
4110000400;1;0
CL597;1;0
CL599;1;0
4110000401;1;0
4110000402;1;0
CL611;1;0
CL612;1;0
4110000406;1;0
4110000407;2;0
4110000408;1;0
CL617;1;0
4110000411;1;0
4110000412;1;0
CL629;1;0
CL391;1;0
4110000419;1;0
4110000420;1;0
4110000422;1;0
4110000423;1;0
4110000424;1;0
4110000425;1;0
4110000426;1;0
4110000370;1;0
4110000382;2;0
4110000428;1;0
CL462;2;0
4110000430;1;0
4110000431;1;0
CL647;1;0
CL649;1;0
CL650;1;0
4110000433;1;0
4110000015;2;0
4110000167;2;0
4110000432;1;0
4110000434;1;0
4110000435;2;0
4110000383;2;0
4110000418;1;0
4110000410;1;0
CL541;1;0
4110000125;1;0
4110000262;2;0
CL002;2;0
CL655;1;0
CL657;1;0
4110000437;1;0
CL659;1;0
CL052;2;0
CL110;1;0
4110000439;1;0
4110000339;1;0
CL610;1;0
CL662;1;0
CL663;1;0
4110000440;1;0
4110000441;2;0
4110000442;1;0
4110000443;1;0
4110000444;1;0
4110000340;1;0
CL557;2;0
4110000447;1;0
4110000452;1;0
CL685;1;0
4110000458;1;0
4110000460;1;0
4110000461;1;0
4110000462;1;0
4110000463;1;0
CL699;1;0
4110000465;1;0
CL702;1;0
4110000467;1;0
4110000469;1;0
CL708;1;0
CL709;1;0
4110000473;1;0
4110000474;1;0
CL718;1;0
4110000476;2;0
4110000287;1;0
4110000477;1;0
4110000478;1;0
4110000479;1;0
4110000970;1;0
4110000480;1;0
CL729;1;0
CL730;1;0
CL733;1;0
4110000484;1;0
CL737;1;0
4110000486;1;0
4110000487;1;0
CL741;1;0
CL742;1;0
CL743;1;0
4110000491;1;0
CL748;1;0
CL750;1;0
CL753;1;0
CL755;1;0
CL756;1;0
4110000455;1;0
4110000495;1;0
4110000276;1;0
4110000496;1;0
CL760;1;0
CL761;1;0
4110000711;1;0
CL763;1;0
CL764;1;0
4110000497;1;0
CL766;1;0
4110000499;1;0
4110000500;1;0
CL772;1;0
CL773;1;0
4110000501;1;0
CL775;1;0
4110000502;1;0
CL777;1;0
CL778;1;0
CL779;1;0
CL782;2;0
CL785;1;0
CL786;1;0
4110000002;2;0
1010356;2;0
4110000028;2;0
4110000030;2;0
CL083;2;0
4110000033;2;0
CL096;2;0
CL101;2;0
CL118;2;0
4110000233;2;0
4110000239;2;0
CL171;2;0
CL173;2;0
4110000250;2;0
4110000266;2;0
CL297;2;0
4110000279;2;0
4110000280;2;0
4110000284;2;0
4110000285;2;0
4110000286;2;0
4110000291;2;0
4110000297;2;0
4110000299;2;0
CL414;2;0
4110000301;2;0
4110000302;2;0
4110000303;2;0
CL422;2;0
4110000307;2;0
4110000308;2;0
4110000309;2;0
4110000313;2;0
4110000315;2;0
CL446;2;0
CL448;2;0
4110000324;2;0
4110000325;2;0
4110000328;2;0
CL473;2;0
CL475;1;0
4110000342;2;0
4110000343;2;0
CL491;2;0
CL502;2;0
CL504;2;0
4110000356;2;0
CL519;2;0
CL526;2;0
4110000366;2;0
CL533;2;0
4110000372;2;0
4110000376;2;0
4110000377;2;0
CL559;2;0
CL562;2;0
4110000387;2;0
4110000390;2;0
CL574;2;0
4110000393;2;0
4110000405;2;0
CL614;2;0
4110000413;2;0
4110000415;2;0
CL643;2;0
4110000429;2;0
CL654;2;0
4110000451;2;0
CL690;2;0
4110000468;2;0
CL713;2;0
4110000471;2;0
4110000472;1;0
4110000481;2;0
CL749;2;0
CL769;2;0
CL784;1;0
CL787;1;0
CL788;1;0
4110000505;1;0
4110000506;1;0
CL791;1;0
CL792;1;0
4110000507;1;0
4110000508;1;0
CL795;1;0
4110000509;1;0
4110000510;1;0
4110000511;1;0
4110000512;2;0
CL800;1;0
CL801;1;0
4110000404;2;0
CL803;2;0
4110000514;1;0
4110000516;1;0
4110000490;2;0
4110000517;1;0
CL581;2;0
4110000712;1;0
4110000949;1;0
CL903;1;0
CL461;2;0
CL905;1;0
CL906;2;0
CL907;1;0
4110000966;1;0
4110000520;1;0
4110000521;1;0
4110000010;2;0
4110000255;2;0
4110000363;2;0
4110000449;1;0
4110000523;1;0
4110000524;1;0
4110000525;1;0
CL916;1;0
CL917;1;0
CL918;1;0
CL0001;1;0
4110000527;1;0
4110000528;1;0
4110000529;1;0
CL922;1;0
4110000530;1;0
4110000312;2;0
4110000531;1;0
4110000021;1;0
CL926;2;0
4110000532;1;0
CL928;1;0
4110000533;1;0
CL930;1;0
1010094;2;0
4110000536;1;0
CL934;2;0
CL935;1;0
4110000358;2;0
4110000503;1;0
4110000359;1;0
CL666;2;0
4110000232;2;0
CL937;1;0
4110000319;2;0
4110000498;2;0
4110000352;2;0
4110000538;1;0
4110000304;2;0
CL432;1;0
4110000277;1;0
CL942;1;0
4110000542;1;0
4110000013;2;0
4110000544;1;0
CL946;1;0
CL947;1;0
CL948;1;0
4110000005;2;0
CL950;1;0
4110000546;1;0
CL952;1;0
4110000548;2;0
4110000549;1;0
4110000550;1;0
4110000551;1;0
4110000552;1;0
CL959;1;0
4110000553;1;0
4110000554;1;0
CL962;1;0
4110000555;1;0
CL964;1;0
4110000275;1;0
CL965;2;0
CL967;2;0
4110000557;2;0
4110000558;1;0
CL970;1;0
4110000349;2;0
4110000236;2;0
4110000001;2;0
4110000559;1;0
1010033;1;0
4110000348;1;0
4110000561;1;0
4110000562;2;0
4110000292;2;0
4110000566;1;0
CL072;2;0
4110000567;1;0
4110000568;1;0
4110000569;1;0
4110000570;1;0
CL983;2;0
CL984;2;0
CL985;2;0
CL986;2;0
CL986;1;0
4110000571;1;0
CL989;2;0
4110000574;1;0
4110000575;1;0
4110000576;1;0
4110000577;1;0
4110000578;1;0
4110000579;1;0
CL997;1;0
4110000580;1;0
4110000581;1;0
CL1000;1;0
4110000034;1;0
4110000036;2;0
4110000037;1;0
4110000038;1;0
4110000040;1;0
4110000041;1;0
4110000042;1;0
4110000043;1;0
4110000044;1;0
4110000045;1;0
4110000046;1;0
4110000047;1;0
4110000048;1;0
4110000050;1;0
CL1018;1;0
4110000051;1;0
4110000052;1;0
CL1021;1;0
4110000053;1;0
4110000054;1;0
4110000055;1;0
4110000056;1;0
4110000057;1;0
4110000058;2;0
4110000059;1;0
4110000060;1;0
4110000355;2;0
4110000274;1;0
4110000384;1;0
4110000062;1;0
4110000063;1;0
4110000064;1;0
4110000065;1;0
4110000068;1;0
CL1040;1;0
CL1041;1;0
CL1042;1;0
CL1043;1;0
4110000071;1;0
CL1045;1;0
CL309;1;0
CL1047;1;0
CL1048;1;0
4110000073;1;0
4110000074;1;0
4110000300;1;0
CL1052;1;0
4110000076;1;0
4110000078;1;0
CL1056;1;0
4110000079;1;0
4110000080;1;0
4110000081;1;0
4110000082;1;0
4110000083;1;0
4110000084;1;0
4110000086;1;0
4110000087;1;0
4110000088;1;0
4110000089;1;0
4110000090;1;0
4110000091;1;0
CL1070;2;0
4110000092;1;0
4110000093;1;0
4110000094;1;0
4110000095;1;0
4110000096;1;0
4110000097;1;0
4110000099;1;0
4110000100;1;0
4110000101;1;0
4110000102;1;0
4110000103;1;0
4110000104;2;0
4110000105;1;0
4110000106;1;0
4110000107;1;0
4110000108;1;0
4110000109;1;0
4110000110;1;0
CL1090;1;0
4110000335;1;0
4110000409;1;0
4110000111;1;0
4110000112;1;0
4110000113;2;0
4110000114;1;0
4110000115;1;0
4110000116;1;0
4110000117;1;0
4110000118;1;0
4110000119;1;0
4110000120;1;0
CL1101;1;0
4110000130;1;0
4110000131;1;0
4110000133;1;0
4110000128;1;0
4110000134;2;0
4110000136;1;0
4110000127;1;0
4110000126;2;0
4110000137;1;0
4110000139;1;0
4110000142;2;0
4110000143;1;0
4110000144;1;0
4110000147;1;0
4110000148;1;0
4110000149;1;0
4110000150;1;0
4110000151;1;0
4110000152;1;0
4110000153;1;0
4110000154;1;0
4110000155;1;0
4110000156;1;0
4110000157;1;0
4110000158;1;0
CL1180;2;0
4110000968;1;0
4110000159;1;0
4110000161;1;0
4110000162;1;0
4110000163;1;0
4110000164;1;0
4110000165;1;0
4110000168;1;0
4110000170;1;0
4110000172;1;0
4110000173;1;0
4110000174;1;0
4110000175;1;0
4110000176;1;0
4110000124;1;0
4110000177;1;0
4110000178;1;0
4110000179;1;0
CL1203;1;0
4110000180;1;0
4110000181;1;0
4110000182;1;0
4110000183;1;0
4110000184;1;0
4110000185;1;0
4110000187;1;0
CL1211;1;0
4110000188;1;0
4110000189;1;0
CL1214;1;0
4110000190;1;0
CL210;1;0
4110000191;1;0
4110000192;1;0
4110000193;1;0
CL1219;1;0
4110000194;1;0
4110000195;1;0
4110000196;1;0
CL1223;1;0
CL1224;1;0
4110000198;1;0
4110000971;1;0
4110000972;1;0
4110000199;1;0
4110000200;1;0
4110000201;1;0
4110000202;1;0
4110000203;1;0
4110000204;1;0
4110000205;1;0
4110000206;1;0
4110000207;1;0
4110000208;1;0
4110000209;1;0
4110000210;1;0
4110000361;1;0
4110000973;1;0
4110000211;1;0
4110000214;1;0
4110000215;1;0
CL1247;1;0
4110000217;1;0
4110000218;1;0
4110000219;1;0
4110000222;1;0
4110000223;1;0
4110000224;1;0
4110000225;2;0
4110000226;1;0
4110000227;1;0
4110000582;1;0
4110000519;2;15
4110000969;2;0
CL1262;1;0
4110000946;2;0
4110000950;1;0
4110000947;2;0
4110000944;2;0
4110000943;1;0
4110000951;1;0
4110000945;1;0
4110000948;2;0
CL1118;2;0
4110000955;2;0
4110000957;2;0
4110000959;2;0
4110000960;1;0
4110000961;1;0
4110000963;2;0
4110000428;2;0
4110000417;2;0
4110000964;2;0
4110000197;2;0
4110000965;2;0
CL1291;2;0
4110000956;1;0
4110000962;1;0
4110000976;2;0
4110000977;2;0
4110000978;1;0
4110000979;1;0
4110000980;1;0
4110000967;1;0
4110000995;1;0
4110001011;1;0
4110001213;1;0
4110001218;1;0
4110001236;2;0
4110001246;1;0
4110001254;2;0
4110001404;1;0
4110001405;1;0
4110001409;1;0
4110001413;1;0
4110001414;1;0
4110001415;1;0
4110001416;1;0
4110001421;2;0
4110001481;2;0
4110001559;2;0
4110001560;2;0
4110001647;1;0
4110001635;1;0
4110001636;1;0
4110001627;2;0
4110001624;1;0
4110001617;1;0
4110001609;1;0
4110001608;1;0
4110001572;1;0
4110001569;1;0
4110001564;1;0
4110001563;1;0
4110001648;1;0
4110001652;1;0
4110001696;2;0
4110001720;1;0
4110001719;1;0
4110001725;1;0
4110001746;2;0
4110001812;1;0
4110001811;1;0
4110001816;1;0
4110001839;1;0
4110001845;1;0
4110001846;1;0
4110001857;1;0
4110001855;1;0
4110001853;1;0
4110001851;1;0
4110001880;1;0
4110001882;1;0
4110001881;1;0
4110001891;1;0
4110001902;1;0
4110001967;1;0
4110001970;1;0
4110000007;2;0
4110001979;2;0
4110001980;1;0
4110001491;2;0
4110001994;1;0
4110002001;1;0
4110002010;1;0
4110002012;1;0
4110002013;1;0
4110002015;1;0
4110002016;1;0
4110000075;2;0
4110001993;2;0
4110002031;1;0
4110002032;1;0
4110002395;1;0
4110002017;1;0
4110002463;1;0
4110000289;2;0
4110001247;1;0
4110001747;1;0
4110000016;2;0
4110000290;2;0
4110000336;2;0
4110001263;2;0
4110001437;2;0
4110000012;2;0
4110000012;1;0
4110000364;2;0
4110000373;2;0
4110000416;2;0
4110000221;2;0
4110000321;2;0
4110000454;2;0
4110000954;2;0
4110001272;2;0
4110002533;1;0
4110002809;1;0
4110002819;1;0
4110002037;1;0
4110001666;2;0
4110003470;1;0
4110003017;1;0
4110003204;1;0
4110003472;1;0
4110003263;1;0
4110001546;1;0
4110001598;1;0
4110000069;1;0
4110000953;1;0
4110001010;1;0
4110001228;1;0
4110001339;1;0
4110001359;1;0
4110001378;1;0
4110001379;1;0
4110001601;1;0
4110001756;1;0
4110001757;1;0
4110001823;1;0
4110002025;1;0
4110002443;1;0
4110002444;1;0
4110002470;1;0
4110002620;1;0
4110002502;1;0
4110002811;1;0
4110002816;1;0
4110002848;1;0
4110003136;1;0
4110003151;1;0
4110000371;2;0
4110000456;1;0
4110003506;1;0
4110003525;1;0
4110004271;1;0
4110001919;1;0
4110004300;1;0
4110004303;2;0
4110004315;1;0
4110004325;1;0
4110004331;1;0
4110004332;1;0
4110004333;1;0
4110004337;1;0
4110004339;1;0
4110004352;1;0
4110004355;1;0
4110004359;1;0
4110004368;1;0
4110004370;1;0
4110004371;1;0
4110003161;1;0
4110000543;3;15
4110000294;3;15
4110000492;3;15
4110000213;3;15
4110000264;3;15
4110000017;3;20
4110000240;3;15
4110000958;3;15
4110000513;3;15
4110000008;3;15
4110000272;3;20
4110000526;3;20
4110000333;3;15
4110000367;3;20
4110000085;3;15
4110000269;3;15
4110000362;3;15
4110000427;3;15
4110000545;3;15
4110000216;3;15
4110000368;3;15
4110000488;3;15
4110000311;3;15
4110000027;3;15
4110000220;3;15
4110000403;3;15
4110000004;3;25
4110000350;3;15
4110000565;3;15
4110000564;3;15
4110000305;3;10
4110004375;1;0
4110004394;1;0
4110002797;1;0
4110004419;1;0
4110003523;1;0
4110004421;1;0
4110004422;1;0
4110004423;1;0
4110004425;1;0
4110004426;1;0
4110004427;1;0
4110004431;1;0
4110004435;1;0
4110004434;1;0
4110004436;1;0
4110004437;1;0
4110004438;1;0
4110004440;1;0
4110004449;1;0
4110004450;1;0
4110004452;1;0
4110004453;1;0
4110004477;1;0
4110004497;1;0
4110004584;1;0
4110000032;3;15
4110004587;1;0
4110000563;3;15
4110000395;3;15
4110002485;1;0
4110002532;1;0
4110004428;1;0
4110005044;1;0
4110005039;1;0
4110004962;1;0
4110005050;1;0
4110005063;1;0
4110005070;1;0
4110005109;1;0
4110005108;1;0
4110005046;1;0
4110001464;1;0
4110005127;1;0
4110005140;3;15
4110005141;1;0
4110005148;1;0
4110005150;1;0
4110005153;1;0
4110005154;1;0
4110005156;1;0
4110005171;1;0
4110005172;1;0
4110005175;1;0
4110005176;1;0
4110005177;1;0
4110005194;1;0
4110005199;1;0
4110005200;1;0
4110004748;2;0
4110005204;3;15
4110005209;1;0
4110005229;1;0
4110005247;1;0
4110005249;1;0
4110005250;1;0
4110004475;3;15
4110005275;1;0
4110005276;1;0
4110005277;1;0
4110005287;1;0
4110005289;1;0
4110005291;1;0
4110005890;1;0
4110005292;1;0
4110005290;3;15
4110004410;1;0
4110005296;1;0
4110005299;1;0
4110005310;1;0
4110005321;1;0
4110005322;1;0
4110005324;2;0
4110000121;3;15
4110005347;1;0
4110005348;1;0
4110005351;1;0
4110005352;1;0
4110005355;1;0
4110005363;1;0
4110005367;1;0
4110005374;1;0
4110005376;1;0
4110005382;1;0
4110005413;1;0
4110001476;1;0
4110005421;1;0
4110005424;1;0
4110005425;1;0
4110005426;1;0
4110000354;2;0
4110000560;2;0
4110005429;3;15
4110005430;1;0
4110004369;3;15
4110004398;3;15
4110005067;3;15
4110005274;3;15
4110004416;3;15
4110004343;3;15
4110005432;1;0
4110005464;3;15
4110002585;1;0
4110005470;2;0
4110005472;1;0
4110005473;1;0
4110005474;1;0
4110005477;1;0
4110005479;1;0
4110005488;1;0
4110005493;1;0
4110005495;1;0
4110000263;3;15
4110000572;1;0
4110005506;1;0
4110005507;1;0
4110005515;1;0
4110005516;1;0
4110005520;1;0
4110005342;1;0
4110000436;3;15
4110005496;3;15
4110005524;3;15
4110005529;1;0
4110005536;1;0
4110005538;1;0
4110000098;1;0
4110005928;3;15
4110005941;1;0
4110001377;1;0
4110006106;1;0
4110000035;1;0
4110000039;2;0
4110000061;1;0
4110000353;2;0
4110000459;1;0
4110000483;1;0
4110000504;1;0
4110000518;1;0
4110000535;1;0
4110000539;1;0
4110000541;1;0
4110000556;1;0
4110000573;1;0
4110000018;2;0
4110000020;2;0
4110000135;1;0
4110000140;1;0
4110000212;1;0
4110000288;1;0
4110000421;2;0
4110006236;1;0
4110006243;1;0
4110006255;1;0
4110006281;1;0
4110000547;1;0
4110000540;1;0
4110000534;1;0
4110000522;1;0
4110000475;2;0
4110000470;1;0
4110000445;1;0
4110000438;2;0
4110000414;2;0
4110000385;1;0
4110000295;2;0
4110000268;1;0
4110000230;1;0
4110000066;3;15
4110004433;1;0
4110006564;1;0
4110005703;1;0
4110006569;1;0
4110006570;1;0
4110005486;1;0
4110000072;1;0
4110006605;1;0
4110000166;1;0
4110004409;3;15
4110005471;1;0
4110006609;1;0
